   X     Q^2  F2(Pb)EPS09/F2p Stheo     statEPS09   systEPS09    F2(Pb)DSSZ/F2p   S(F2(Pb)DSSZ)  statDSSZ    systDSSZ  
0.1750 6.744 0.867510E+00 0.102442E-01 0.280975E-01 0.000000E+00 0.880706E+00 0.266359E-01 0.285249E-01 0.000000E+00
0.1750 8.235 0.873878E+00 0.135374E-01 0.297714E-01 0.000000E+00 0.887749E+00 0.264489E-01 0.302439E-01 0.000000E+00
0.175010.055 0.895027E+00 0.142836E-01 0.261704E-01 0.000000E+00 0.910912E+00 0.267536E-01 0.266348E-01 0.000000E+00
0.175012.347 0.912678E+00 0.141640E-01 0.218553E-01 0.000000E+00 0.925226E+00 0.268067E-01 0.221558E-01 0.000000E+00
0.175015.937 0.881331E+00 0.114188E-01 0.208599E-01 0.000000E+00 0.896823E+00 0.255543E-01 0.212266E-01 0.000000E+00
0.175020.231 0.865804E+00 0.990418E-02 0.235178E-01 0.000000E+00 0.877645E+00 0.246455E-01 0.238395E-01 0.000000E+00
0.175026.258 0.856797E+00 0.105662E-01 0.260689E-01 0.000000E+00 0.869139E+00 0.240498E-01 0.264444E-01 0.000000E+00
0.175035.236 0.854331E+00 0.112775E-01 0.338607E-01 0.000000E+00 0.865918E+00 0.235886E-01 0.343199E-01 0.000000E+00
0.175045.229 0.898958E+00 0.118025E-01 0.493648E-01 0.000000E+00 0.912217E+00 0.245415E-01 0.500928E-01 0.000000E+00
0.2500 5.878 0.942988E+00 0.140922E-01 0.229049E+00 0.000000E+00 0.959713E+00 0.266649E-01 0.233111E+00 0.000000E+00
0.2500 6.825 0.845463E+00 0.123576E-01 0.478194E-01 0.000000E+00 0.863596E+00 0.238188E-01 0.488450E-01 0.000000E+00
0.2500 8.193 0.852020E+00 0.123873E-01 0.467294E-01 0.000000E+00 0.873636E+00 0.238827E-01 0.479150E-01 0.000000E+00
0.250010.055 0.844617E+00 0.126878E-01 0.262218E-01 0.000000E+00 0.865212E+00 0.234292E-01 0.268611E-01 0.000000E+00
0.250012.409 0.780611E+00 0.133419E-01 0.187943E-01 0.000000E+00 0.799808E+00 0.214625E-01 0.192565E-01 0.000000E+00
0.250015.831 0.838525E+00 0.120811E-01 0.181047E-01 0.000000E+00 0.851715E+00 0.226177E-01 0.183895E-01 0.000000E+00
0.250020.197 0.815118E+00 0.105944E-01 0.213135E-01 0.000000E+00 0.828527E+00 0.217859E-01 0.216641E-01 0.000000E+00
0.250026.198 0.827282E+00 0.931602E-02 0.212041E-01 0.000000E+00 0.843836E+00 0.219740E-01 0.216284E-01 0.000000E+00
0.250034.935 0.843729E+00 0.111649E-01 0.285175E-01 0.000000E+00 0.860704E+00 0.221854E-01 0.290912E-01 0.000000E+00
0.250047.106 0.813673E+00 0.126647E-01 0.341548E-01 0.000000E+00 0.831085E+00 0.212122E-01 0.348856E-01 0.000000E+00
0.250060.096 0.753617E+00 0.127799E-01 0.510274E-01 0.000000E+00 0.771883E+00 0.195574E-01 0.522642E-01 0.000000E+00
0.350013.003 0.728676E+00 0.115656E-01 0.368515E-01 0.000000E+00 0.755213E+00 0.207683E-01 0.381936E-01 0.000000E+00
0.350015.874 0.736416E+00 0.117065E-01 0.233062E-01 0.000000E+00 0.763551E+00 0.208975E-01 0.241650E-01 0.000000E+00
0.350020.144 0.749678E+00 0.121795E-01 0.262172E-01 0.000000E+00 0.778093E+00 0.211686E-01 0.272109E-01 0.000000E+00
0.350026.435 0.692441E+00 0.114683E-01 0.254100E-01 0.000000E+00 0.719393E+00 0.194456E-01 0.263990E-01 0.000000E+00
0.350035.071 0.677852E+00 0.109010E-01 0.313526E-01 0.000000E+00 0.704497E+00 0.189263E-01 0.325850E-01 0.000000E+00
0.350047.306 0.675738E+00 0.113257E-01 0.379587E-01 0.000000E+00 0.703548E+00 0.187856E-01 0.395208E-01 0.000000E+00
0.350063.093 0.719273E+00 0.122759E-01 0.490062E-01 0.000000E+00 0.749145E+00 0.198945E-01 0.510415E-01 0.000000E+00
0.350080.481 0.812755E+00 0.142098E-01 0.111975E+00 0.000000E+00 0.847412E+00 0.224101E-01 0.116750E+00 0.000000E+00
0.450016.940 0.639850E+00 0.155827E-01 0.479545E-01 0.000000E+00 0.680181E+00 0.195351E-01 0.509772E-01 0.000000E+00
0.450020.343 0.694977E+00 0.172478E-01 0.328335E-01 0.000000E+00 0.738951E+00 0.211676E-01 0.349111E-01 0.000000E+00
0.450026.551 0.681255E+00 0.168777E-01 0.334484E-01 0.000000E+00 0.724626E+00 0.206792E-01 0.355778E-01 0.000000E+00
0.450035.236 0.642087E+00 0.159908E-01 0.394503E-01 0.000000E+00 0.684285E+00 0.194498E-01 0.420429E-01 0.000000E+00
0.450047.020 0.649042E+00 0.166034E-01 0.515975E-01 0.000000E+00 0.691889E+00 0.196128E-01 0.550037E-01 0.000000E+00
0.450064.154 0.634011E+00 0.163749E-01 0.596079E-01 0.000000E+00 0.676343E+00 0.191076E-01 0.635878E-01 0.000000E+00
0.450084.666 0.553051E+00 0.144666E-01 0.642296E-01 0.000000E+00 0.590287E+00 0.166306E-01 0.685542E-01 0.000000E+00
0.550021.418 0.559666E+00 0.196762E-01 0.115279E+00 0.000000E+00 0.606512E+00 0.220214E-01 0.124928E+00 0.000000E+00
0.550026.594 0.503004E+00 0.176017E-01 0.312619E-01 0.000000E+00 0.545377E+00 0.196485E-01 0.338954E-01 0.000000E+00
0.550035.268 0.564949E+00 0.198543E-01 0.492887E-01 0.000000E+00 0.612956E+00 0.217393E-01 0.534772E-01 0.000000E+00
0.550046.512 0.628864E+00 0.221953E-01 0.685172E-01 0.000000E+00 0.682423E+00 0.238705E-01 0.743528E-01 0.000000E+00
0.550063.786 0.636201E+00 0.225156E-01 0.100047E+00 0.000000E+00 0.690942E+00 0.239068E-01 0.108656E+00 0.000000E+00
0.550086.439 0.802550E+00 0.284534E-01 0.156305E+00 0.000000E+00 0.871986E+00 0.298663E-01 0.169828E+00 0.000000E+00
0.650027.299 0.461642E+00 0.191343E-01 0.502197E-01 0.000000E+00 0.508647E+00 0.174749E-01 0.553332E-01 0.000000E+00
0.650035.027 0.527704E+00 0.216904E-01 0.562341E-01 0.000000E+00 0.581489E+00 0.200508E-01 0.619656E-01 0.000000E+00
0.650047.008 0.504917E+00 0.210270E-01 0.461101E-01 0.000000E+00 0.556377E+00 0.192654E-01 0.508095E-01 0.000000E+00
